1,"Sisterfields",,,"$$","Cafe","Jl. Kayu Cendana No.7, Seminyak, Bali, Kabupaten Badung, Bali 80361 ",,," 7AM to 9PM",,,,,,,,,"Modern cafe with indoor & outdoor seating offering all-day Australian-style brunch, plus cocktails.","-8.6829819, 115.1575097","  Badung",,
2,"Goemerot Restaurant - Denpasar",,,"$$","Indonesian restaurant","Jl. Tukad Gangga No.8, Dauh Puri Klod, Denpasar Selatan, Kota Denpasar, Bali 80234 ",,," 9AM to 10PM",,,,,,,,,"Regional fare such as spiced chicken plates served at this relaxed eatery that has a playground.","-8.6754064, 115.2279881","  Denpasar",,
3,"Abunawas Restaurant Bali",,,"$$","Restaurant","Jl. Imam Bonjol No.446, Pemecutan Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80119 ",,," 10AM to 10PM",,,,,,,,,"","-8.6972059, 115.185672","  Denpasar",,
4,"White Canny",,,"$$","Restaurant","Jl. Tukad Gangga No.16, Dauh Puri Klod, Denpasar Selatan, Kota Denpasar, Bali 80234 ",,," 10AM to 10PM",,,,,,,,,"","-8.6762733, 115.2280281","  Denpasar",,
5,"Bale Udang Mang Engking Kuta",,,"$$","Indonesian restaurant","Jl. Nakula No.88, Pemecutan Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80119 ",,," 11AM to 10PM",,,,,,,,,"Tempat makan yg unik memiliki gubug-gubug diatas kolam ikan menyajikan menu khas Indonesia.","-8.6996704, 115.1830284","  Denpasar",,
