,name,regency_id,state_id,country_id,latitude,longitude
0,,56324,1825,102,-6.8891904,107.6404716
1,Kalumata,56812,1801,102,0.7658872,127.351437
2,Salahuddin,56812,1801,102,0.28069325,128.76058894466286
3,Dufa-Dufa,56812,1801,102,0.8230808,127.3671301
4,Sorong,56641,1799,102,-0.8634105,131.2544805
5,Sorong,56799,1799,102,-0.8634105,131.2544805
6,,56530,1795,102,-3.6446718,119.9471906
