,id,name,state_id,country_id,latitude,longitude
78,56426,Kabupaten Indramayu,1825,102,-6.45000000,108.16667000
79,56731,Kota Bandung,1825,102,-6.91750000,107.62444000
80,56440,Kabupaten Karawang,1825,102,-6.26667000,107.41667000
81,56732,Kota Banjar,1825,102,-7.36996000,108.53209000
82,56474,Kabupaten Kuningan,1825,102,-7.00000000,108.55000000
83,56738,Kota Bekasi,1825,102,-6.28333000,106.98333000
84,56325,Kabupaten Bandung Barat,1825,102,-6.83333000,107.48333000
85,56744,Kota Bogor,1825,102,-6.59167000,106.80000000
86,56508,Kabupaten Majalengka,1825,102,-6.81667000,108.28333000
87,56349,Kabupaten Bekasi,1825,102,-6.24667000,107.10833000
88,56748,Kota Cimahi,1825,102,-6.89167000,107.55000000
89,56366,Kabupaten Bogor,1825,102,-6.58333000,106.71667000
90,56575,Kabupaten Pangandaran,1825,102,-7.66730000,108.64037000
91,56749,Kota Cirebon,1825,102,-6.75000000,108.55000000
92,56390,Kabupaten Ciamis,1825,102,-7.28333000,108.41667000
93,56606,Kabupaten Purwakarta,1825,102,-6.58333000,107.45000000
94,56644,Kabupaten Subang,1825,102,-6.50833000,107.70250000
95,56391,Kabupaten Cianjur,1825,102,-6.77250000,107.08306000
96,56751,Kota Depok,1825,102,-6.40000000,106.81667000
97,56801,Kota Sukabumi,1825,102,-6.95000000,106.93333000
98,56645,Kabupaten Sukabumi,1825,102,-7.06667000,106.70000000
99,56654,Kabupaten Sumedang,1825,102,-6.81667000,107.98333000
100,56393,Kabupaten Cirebon,1825,102,-6.80000000,108.56667000
101,56674,Kabupaten Tasikmalaya,1825,102,-7.50000000,108.13333000
102,56407,Kabupaten Garut,1825,102,-7.38333000,107.76667000
103,56336,Kabupaten Banjarnegara,1802,102,-7.35111000,109.58750000
104,56692,Kabupaten Wonogiri,1802,102,-7.91667000,111.00000000
105,56459,Kabupaten Klaten,1802,102,-7.68333000,110.61667000
106,56339,Kabupaten Banyumas,1802,102,-7.45000000,109.16667000
107,56693,Kabupaten Wonosobo,1802,102,-7.36139000,109.92667000
108,56472,Kabupaten Kudus,1802,102,-6.80000000,110.86667000
109,56346,Kabupaten Batang,1802,102,-7.03333000,109.88333000
110,56505,Kabupaten Magelang,1802,102,-7.42750000,110.16194000
111,56765,Kota Magelang,1802,102,-7.50000000,110.22500000
112,56364,Kabupaten Blora,1802,102,-7.06667000,111.38333000
113,56786,Kota Pekalongan,1802,102,-6.90000000,109.68333000
114,56583,Kabupaten Pati,1802,102,-6.76667000,111.10000000
115,56792,Kota Salatiga,1802,102,-7.33278000,110.48333000
116,56377,Kabupaten Boyolali,1802,102,-7.50000000,110.70000000
117,56585,Kabupaten Pekalongan,1802,102,-7.03190000,109.62400000
118,56587,Kabupaten Pemalang,1802,102,-7.03333000,109.40000000
119,56795,Kota Semarang,1802,102,-7.03333000,110.38333000
120,56378,Kabupaten Brebes,1802,102,-7.05000000,108.90000000
121,56605,Kabupaten Purbalingga,1802,102,-7.28417000,109.35028000
122,56392,Kabupaten Cilacap,1802,102,-7.57417000,108.98861000
123,56804,Kota Surakarta,1802,102,-7.55000000,110.81667000
124,56397,Kabupaten Demak,1802,102,-6.89930000,110.61220000
125,56607,Kabupaten Purworejo,1802,102,-7.70000000,109.96667000
126,56811,Kota Tegal,1802,102,-6.86860000,109.11290000
127,56413,Kabupaten Grobogan,1802,102,-7.11667000,110.91667000
128,56610,Kabupaten Rembang,1802,102,-6.78333000,111.46667000
129,56620,Kabupaten Semarang,1802,102,-7.20667000,110.44139000
130,56643,Kabupaten Sragen,1802,102,-7.41278000,110.93500000
131,56433,Kabupaten Jepara,1802,102,-6.58333000,110.76667000
132,56647,Kabupaten Sukoharjo,1802,102,-7.68333000,110.83333000
133,56439,Kabupaten Karanganyar,1802,102,-7.62806000,111.06250000
134,56676,Kabupaten Tegal,1802,102,-7.03333000,109.16667000
135,56445,Kabupaten Kebumen,1802,102,-7.63917000,109.66056000
136,56679,Kabupaten Temanggung,1802,102,-7.25000000,110.11667000
137,56448,Kabupaten Kendal,1802,102,-7.02560000,110.16850000
138,56333,Kabupaten Bangkalan,1827,102,-7.05000000,112.93333000
139,56736,Kota Batu,1827,102,-7.83272000,112.53751000
140,56582,Kabupaten Pasuruan,1827,102,-7.73333000,112.83333000
141,56373,Kabupaten Bondowoso,1827,102,-7.94040000,113.98340000
142,56340,Kabupaten Banyuwangi,1827,102,-8.33333000,114.20000000
143,56597,Kabupaten Ponorogo,1827,102,-7.93333000,111.50000000
144,56743,Kota Blitar,1827,102,-8.10000000,112.16667000
145,56363,Kabupaten Blitar,1827,102,-8.13333000,112.25000000
146,56600,Kabupaten Probolinggo,1827,102,-7.86667000,113.31667000
147,56757,Kota Kediri,1827,102,-7.83333000,112.01667000
148,56367,Kabupaten Bojonegoro,1827,102,-7.25000000,111.80000000
149,56764,Kota Madiun,1827,102,-7.63333000,111.53333000
150,56616,Kabupaten Sampang,1827,102,-7.05000000,113.25000000
151,56767,Kota Malang,1827,102,-7.97500000,112.63333000
152,56629,Kabupaten Sidoarjo,1827,102,-7.45000000,112.70000000
153,56430,Kabupaten Jember,1827,102,-8.25000000,113.65000000
154,56636,Kabupaten Situbondo,1827,102,-7.71667000,114.05000000
155,56772,Kota Mojokerto,1827,102,-7.46667000,112.43333000
156,56434,Kabupaten Jombang,1827,102,-7.55000000,112.25000000
157,56655,Kabupaten Sumenep,1827,102,-7.11667000,114.33333000
158,56784,Kota Pasuruan,1827,102,-7.65000000,112.90000000
159,56446,Kabupaten Kediri,1827,102,-7.83333000,112.16667000
160,56685,Kabupaten Trenggalek,1827,102,-8.16667000,111.61667000
161,56790,Kota Probolinggo,1827,102,-7.78333000,113.21667000
162,56483,Kabupaten Lamongan,1827,102,-7.13333000,112.31667000
163,56686,Kabupaten Tuban,1827,102,-6.96667000,111.90000000
164,56500,Kabupaten Lumajang,1827,102,-8.11667000,113.15000000
165,56803,Kota Surabaya,1827,102,-7.26667000,112.71667000
166,56504,Kabupaten Madiun,1827,102,-7.61667000,111.65000000
167,56688,Kabupaten Tulungagung,1827,102,-8.11667000,111.91667000
168,56506,Kabupaten Magetan,1827,102,-7.64472000,111.35917000
169,56511,Kabupaten Malang,1827,102,-8.16667000,112.66667000
170,56540,Kabupaten Mojokerto,1827,102,-7.55000000,112.50000000
171,56557,Kabupaten Nganjuk,1827,102,-7.60000000,111.93333000
172,56558,Kabupaten Ngawi,1827,102,-7.47444000,111.33444000
173,56568,Kabupaten Pacitan,1827,102,-8.13333000,111.16667000
174,56573,Kabupaten Pamekasan,1827,102,-7.06667000,113.50000000
175,56341,Kabupaten Barito Kuala,1819,102,-3.08333000,114.61667000
176,56421,Kabupaten Hulu Sungai Tengah,1819,102,-2.61667000,115.41667000
177,56468,Kabupaten Kota Baru,1819,102,-3.00000000,116.00000000
178,56673,Kabupaten Tapin,1819,102,-2.91667000,115.03333000
179,56323,Kabupaten Balangan,1819,102,-2.32314000,115.62922000
180,56734,Kota Banjarmasin,1819,102,-3.32444000,114.59102000
181,56663,Kabupaten Tanah Bumbu,1819,102,-3.45413000,115.70372000
182,56733,Kota Banjar Baru,1819,102,-3.41667000,114.83333000
183,56657,Kabupaten Tabalong,1819,102,-1.88333000,115.50000000
184,56422,Kabupaten Hulu Sungai Utara,1819,102,-2.45000000,115.13333000
